"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"YANAGI / A8"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI / TYPE-6"|"YANAGI"|"6"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI / TYPE-8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI 10012"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10012"|"SLP"|"NA"
"YANAGI 10066"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10066"|"SLP"|"NA"
"YANAGI 10096"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10096"|"SLP"|"NA"
"YANAGI 10106"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10106"|"SLP"|"NA"
"YANAGI 10112"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10112"|"SLP"|"NA"
"YANAGI 10121"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10121"|"SLP"|"NA"
"YANAGI 10122"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10122"|"SLP"|"NA"
"YANAGI 10140"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10140"|"SLP"|"NA"
"YANAGI 10166"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10166"|"SLP"|"NA"
"YANAGI 10170"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10170"|"SLP"|"NA"
"YANAGI 10187"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10187"|"SLP"|"NA"
"YANAGI 10195"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10195"|"SLP"|"NA"
"YANAGI 10219"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10219"|"SLP"|"NA"
"YANAGI 10250"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10250"|"SLP"|"NA"
"YANAGI 10295"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10295"|"SLP"|"NA"
"YANAGI 10301"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10301"|"SLP"|"NA"
"YANAGI 10305"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10305"|"SLP"|"NA"
"YANAGI 10487"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10487"|"SLP"|"NA"
"YANAGI 10599"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10599"|"SLP"|"NA"
"YANAGI 10693"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10693"|"SLP"|"NA"
"YANAGI 11775"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"11775"|"SLP"|"NA"
"YANAGI 11868"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"11868"|"SLP"|"NA"
"YANAGI 12133"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"12133"|"SLP"|"NA"
"YANAGI 13661"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"13661"|"SLP"|"NA"
"YANAGI 13937"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"13937"|"SLP"|"NA"
"YANAGI 14050"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14050"|"SLP"|"NA"
"YANAGI 14274"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14274"|"SLP"|"NA"
"YANAGI 14278"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14278"|"SLP"|"NA"
"YANAGI 14302"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14302"|"SLP"|"NA"
"YANAGI 14609"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14609"|"SLP"|"NA"
"YANAGI 14829"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14829"|"SLP"|"NA"
"YANAGI 14860"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"14860"|"SLP"|"NA"
"YANAGI 15027"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15027"|"SLP"|"NA"
"YANAGI 15047"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15047"|"SLP"|"NA"
"YANAGI 15191"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15191"|"SLP"|"NA"
"YANAGI 15368"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15368"|"SLP"|"NA"
"YANAGI 15402"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15402"|"SLP"|"NA"
"YANAGI 15504"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15504"|"SLP"|"NA"
"YANAGI 15984"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15984"|"SLP"|"NA"
"YANAGI 15985"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"15985"|"SLP"|"NA"
"YANAGI 16036"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16036"|"SLP"|"NA"
"YANAGI 16123"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16123"|"SLP"|"NA"
"YANAGI 16144"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16144"|"SLP"|"NA"
"YANAGI 16538"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16538"|"SLP"|"NA"
"YANAGI 16549"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16549"|"SLP"|"NA"
"YANAGI 16611"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16611"|"SLP"|"NA"
"YANAGI 16653"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16653"|"SLP"|"NA"
"YANAGI 16665"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16665"|"SLP"|"NA"
"YANAGI 16721"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16721"|"SLP"|"NA"
"YANAGI 16766"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16766"|"SLP"|"NA"
"YANAGI 16785"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16785"|"SLP"|"NA"
"YANAGI 16793"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16793"|"SLP"|"NA"
"YANAGI 16963"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"16963"|"SLP"|"NA"
"YANAGI 17014"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"17014"|"SLP"|"NA"
"YANAGI 17060"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"17060"|"SLP"|"NA"
"YANAGI 17130"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"17130"|"SLP"|"NA"
"YANAGI 17227"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"17227"|"SLP"|"NA"
"YANAGI 3159"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"3159"|"SLP"|"NA"
"YANAGI 447684"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"447684"|"SLP"|"NA"
"YANAGI 4772 TYPE8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"4772"|"SLP"|"NA"
"YANAGI 485232"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"485232"|"SLP"|"NA"
"YANAGI 5201"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"5201"|"SLP"|"NA"
"YANAGI 5813"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"5813"|"SLP"|"NA"
"YANAGI 5912"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"5912"|"SLP"|"NA"
"YANAGI 5952"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"5952"|"SLP"|"NA"
"YANAGI 5960"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"5960"|"SLP"|"NA"
"YANAGI 6340"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6340"|"SLP"|"NA"
"YANAGI 6416"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6416"|"SLP"|"NA"
"YANAGI 6419"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6419"|"SLP"|"NA"
"YANAGI 6497"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6497"|"SLP"|"NA"
"YANAGI 6597"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6597"|"SLP"|"NA"
"YANAGI 6629"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6629"|"SLP"|"NA"
"YANAGI 6665"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6665"|"SLP"|"NA"
"YANAGI 6698"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6698"|"SLP"|"NA"
"YANAGI 6702"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6702"|"SLP"|"NA"
"YANAGI 6731"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6731"|"SLP"|"NA"
"YANAGI 6782"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6782"|"SLP"|"NA"
"YANAGI 6845"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6845"|"SLP"|"NA"
"YANAGI 6909"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6909"|"SLP"|"NA"
"YANAGI 6984"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"6984"|"SLP"|"NA"
"YANAGI 7043"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7043"|"SLP"|"NA"
"YANAGI 7167"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7167"|"SLP"|"NA"
"YANAGI 7180"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7180"|"SLP"|"NA"
"YANAGI 7188"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7188"|"SLP"|"NA"
"YANAGI 7371"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7371"|"SLP"|"NA"
"YANAGI 7397"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7397"|"SLP"|"NA"
"YANAGI 7399"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7399"|"SLP"|"NA"
"YANAGI 7460"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7460"|"SLP"|"NA"
"YANAGI 7481"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7481"|"SLP"|"NA"
"YANAGI 7487"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7487"|"SLP"|"NA"
"YANAGI 7509"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7509"|"SLP"|"NA"
"YANAGI 7552"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7552"|"SLP"|"NA"
"YANAGI 7586"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7586"|"SLP"|"NA"
"YANAGI 7661"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7661"|"SLP"|"NA"
"YANAGI 7681"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7681"|"SLP"|"NA"
"YANAGI 7740"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7740"|"SLP"|"NA"
"YANAGI 7841"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7841"|"SLP"|"NA"
"YANAGI 7889"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7889"|"SLP"|"NA"
"YANAGI 7902"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7902"|"SLP"|"NA"
"YANAGI 7908"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7908"|"SLP"|"NA"
"YANAGI 8005"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8005"|"SLP"|"NA"
"YANAGI 8006"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8006"|"SLP"|"NA"
"YANAGI 8149"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8149"|"SLP"|"NA"
"YANAGI 8223"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8223"|"SLP"|"NA"
"YANAGI 8242"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8242"|"SLP"|"NA"
"YANAGI 8248"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8248"|"SLP"|"NA"
"YANAGI 8259"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8259"|"SLP"|"NA"
"YANAGI 8270"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8270"|"SLP"|"NA"
"YANAGI 8511"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8511"|"SLP"|"NA"
"YANAGI 8569"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8569"|"SLP"|"NA"
"YANAGI 8578"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8578"|"SLP"|"NA"
"YANAGI 8579"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8579"|"SLP"|"NA"
"YANAGI 8615"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8615"|"SLP"|"NA"
"YANAGI 8626"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8626"|"SLP"|"NA"
"YANAGI 8678"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8678"|"SLP"|"NA"
"YANAGI 8817"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8817"|"SLP"|"NA"
"YANAGI 8868"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8868"|"SLP"|"NA"
"YANAGI 8889"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8889"|"SLP"|"NA"
"YANAGI 8931"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8931"|"SLP"|"NA"
"YANAGI 8947"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8947"|"SLP"|"NA"
"YANAGI 8950"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8950"|"SLP"|"NA"
"YANAGI 8959"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8959"|"SLP"|"NA"
"YANAGI 8961"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8961"|"SLP"|"NA"
"YANAGI 8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI 9002"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9002"|"SLP"|"NA"
"YANAGI 9010"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9010"|"SLP"|"NA"
"YANAGI 9040"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9040"|"SLP"|"NA"
"YANAGI 9043"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9043"|"SLP"|"NA"
"YANAGI 9046"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9046"|"SLP"|"NA"
"YANAGI 9168"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9168"|"SLP"|"NA"
"YANAGI 9182"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9182"|"SLP"|"NA"
"YANAGI 9216"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9216"|"SLP"|"NA"
"YANAGI 9223"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9223"|"SLP"|"NA"
"YANAGI 9314"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9314"|"SLP"|"NA"
"YANAGI 93513"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"93513"|"SLP"|"NA"
"YANAGI 9363"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9363"|"SLP"|"NA"
"YANAGI 9376"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9376"|"SLP"|"NA"
"YANAGI 9471"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9471"|"SLP"|"NA"
"YANAGI 9478"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9478"|"SLP"|"NA"
"YANAGI 9498"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9498"|"SLP"|"NA"
"YANAGI 9554"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9554"|"SLP"|"NA"
"YANAGI 957696"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"957696"|"SLP"|"NA"
"YANAGI 9593"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9593"|"SLP"|"NA"
"YANAGI 9602"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9602"|"SLP"|"NA"
"YANAGI 9633"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9633"|"SLP"|"NA"
"YANAGI 9641"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9641"|"SLP"|"NA"
"YANAGI 9666"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9666"|"SLP"|"NA"
"YANAGI 9800"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9800"|"SLP"|"NA"
"YANAGI 9814"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9814"|"SLP"|"NA"
"YANAGI 9898"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9898"|"SLP"|"NA"
"YANAGI 9899"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9899"|"SLP"|"NA"
"YANAGI 9906"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9906"|"SLP"|"NA"
"YANAGI 9934"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9934"|"SLP"|"NA"
"YANAGI 9938"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9938"|"SLP"|"NA"
"YANAGI 9969"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9969"|"SLP"|"NA"
"YANAGI 9991"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9991"|"SLP"|"NA"
"YANAGI ANEROID BAROMETER - 8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI ANEROID BAROMETER PAT. NO. 957696 TYPE 8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI INSTRUMENT CO LTD 8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD / 13473"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"13473"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD / 957696"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/10160"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10160"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/10223"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10223"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/13473"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"13473"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/4454"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"4454"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/7165"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7165"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/7190"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7190"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/7305"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7305"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/7340"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7340"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/7349"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7349"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/957696"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/9645"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9645"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/9685"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9685"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/9713"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9713"|"SLP"|"NA"
"YANAGI INSTRUMENT CO. LTD/991850"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"991850"|"SLP"|"NA"
"YANAGI INSTRUMENT LTD"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI TYPE 8"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI TYPE 8A 93513"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"93513"|"SLP"|"NA"
"YANAGI TYPE 8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI TYPE:8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI UNKNOWN"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI-JAPAN 2316 1973-2"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI/10006"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10006"|"SLP"|"NA"
"YANAGI/10010"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10010"|"SLP"|"NA"
"YANAGI/10012"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10012"|"SLP"|"NA"
"YANAGI/10041"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10041"|"SLP"|"NA"
"YANAGI/10055"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10055"|"SLP"|"NA"
"YANAGI/10058"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10058"|"SLP"|"NA"
"YANAGI/10061"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10061"|"SLP"|"NA"
"YANAGI/10066"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10066"|"SLP"|"NA"
"YANAGI/10072"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10072"|"SLP"|"NA"
"YANAGI/10082"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10082"|"SLP"|"NA"
"YANAGI/10096"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10096"|"SLP"|"NA"
"YANAGI/10106"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10106"|"SLP"|"NA"
"YANAGI/10112"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10112"|"SLP"|"NA"
"YANAGI/10122"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10122"|"SLP"|"NA"
"YANAGI/10136"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10136"|"SLP"|"NA"
"YANAGI/10139"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10139"|"SLP"|"NA"
"YANAGI/10140"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10140"|"SLP"|"NA"
"YANAGI/10152"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10152"|"SLP"|"NA"
"YANAGI/10166"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10166"|"SLP"|"NA"
"YANAGI/10167"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10167"|"SLP"|"NA"
"YANAGI/10170"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10170"|"SLP"|"NA"
"YANAGI/10173"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10173"|"SLP"|"NA"
"YANAGI/10187"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10187"|"SLP"|"NA"
"YANAGI/10195"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10195"|"SLP"|"NA"
"YANAGI/10215"|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"10215"|"SLP"|"NA"
