"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"RHYTHM WATCH"|"RHYTHM WATCH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RHYTHM WATCH/UNKNOWN"|"RHYTHM WATCH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RHYTHM"|"RHYTHM WATCH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RITHM WATCH"|"RHYTHM WATCH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RM YOUNG 41342LC"|"RM YOUNG"|"41342LC"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"RM YOUNG 61201 "|"RM YOUNG"|"61201"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"RM YOUNG 6120V"|"RM YOUNG"|"6120V"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"RM YOUNG DIGITAL 26800"|"RM YOUNG"|"26800"|"BAROMETER_WEATHERSTATION"|"UNKNOWN"|"SLP"|"NA"
"RM YOUNG ELECTRONIC"|"RM YOUNG"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"RM YOUNG"|"RM YOUNG"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"RM Young 267000"|"RM YOUNG"|"26700"|"BAROMETER_WEATHERSTATION"|"UNKNOWN"|"SLP"|"NA"
"RM Young 41342LC"|"RM YOUNG"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"RM Young 41372VC"|"RM YOUNG"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"RM Young 61201"|"RM YOUNG"|"61201"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"RM Young 61302V"|"RM YOUNG"|"61302V"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"RM Young"|"RM YOUNG"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"RMS MARINE SERVICE"|"RMS MARINE SERVICE"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"RODOLFO MATA MECHANISM LTD MK II"|"MECHANISM LTD"|"MK II"|"BAROMETER_ANEROID_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"ROSEMOUNT"|"ROSEMOUNT"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Robert E. White"|"ROBERT E. WHITE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SAN"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH 000213"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000213"|"SLP"|"NA"
"SANOH 000223"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000223"|"SLP"|"NA"
"SANOH 000319"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000319"|"SLP"|"NA"
"SANOH 000500"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000500"|"SLP"|"NA"
"SANOH 00322"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"00322"|"SLP"|"NA"
"SANOH 008334"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"008334"|"SLP"|"NA"
"SANOH 008787"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"008787"|"SLP"|"NA"
"SANOH COLTD"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH CS-21"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH INSTRUMENT CO LTD, TYPE CS-21"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH S8"|"SANOH INSTRUMENT CO. LTD."|"S8"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH TYPE S8"|"SANOH INSTRUMENT CO. LTD."|"S8"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH UNKNOWN"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SANOH"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
